frame,landmark,x,y,z,visibility
3,29,0.713032,0.708695,0.691764,0.195826
3,30,0.690035,0.713733,0.704284,0.189357
3,31,0.720994,0.814334,0.617481,0.606845
3,32,0.696782,0.817887,0.631265,0.594109
4,0,0.675660,0.414885,-0.660965,0.999977
4,1,0.686770,0.381698,-0.661363,0.999965
4,2,0.694113,0.376068,-0.661413,0.999965
4,3,0.700083,0.370229,-0.661548,0.999971
4,4,0.663291,0.388330,-0.659672,0.999952
4,5,0.656770,0.386164,-0.659790,0.999934
4,6,0.650819,0.382683,-0.659843,0.999941
4,7,0.712384,0.343256,-0.558562,0.999969
4,8,0.638149,0.355065,-0.551350,0.999906
4,9,0.691420,0.429056,-0.614144,0.999944
4,10,0.666804,0.434859,-0.611493,0.999945
4,11,0.772683,0.415734,-0.444171,0.999868
4,12,0.599566,0.435717,-0.433168,0.999311
4,13,0.809357,0.627020,-0.453644,0.994314
4,14,0.571618,0.628678,-0.433379,0.984813
4,15,0.830707,0.854582,-0.502420,0.981304
4,16,0.558770,0.853333,-0.481420,0.965216
4,17,0.853936,0.877470,-0.546615,0.929576
4,18,0.535992,0.869679,-0.522672,0.871050
4,19,0.835801,0.879763,-0.565792,0.951564
4,20,0.558441,0.875172,-0.541973,0.905600
4,21,0.823915,0.874083,-0.514280,0.943399
4,22,0.568960,0.870234,-0.493009,0.896407
4,23,0.734049,0.607793,-0.010498,0.999413
4,24,0.657232,0.615653,0.010397,0.999101
4,25,0.731222,0.681974,0.308420,0.639923
4,26,0.668488,0.684967,0.329632,0.651038
4,27,0.718827,0.718535,0.663039,0.452288
4,28,0.688425,0.725490,0.678316,0.446383
4,29,0.713040,0.706248,0.696991,0.189578
4,30,0.689394,0.711458,0.712507,0.182487
4,31,0.721170,0.811524,0.626170,0.591763
4,32,0.696778,0.816168,0.642299,0.576717
5,0,0.675895,0.430916,-0.661198,0.999978
5,1,0.686977,0.396356,-0.663640,0.999967
5,2,0.694453,0.390612,-0.663682,0.999967
5,3,0.700479,0.384699,-0.663820,0.999973
5,4,0.663373,0.403214,-0.661485,0.999954
5,5,0.656964,0.401262,-0.661610,0.999938
5,6,0.651117,0.398185,-0.661655,0.999944
5,7,0.712388,0.356063,-0.567577,0.999971
5,8,0.638735,0.371805,-0.557077,0.999912
5,9,0.692043,0.443879,-0.614601,0.999947
5,10,0.666937,0.450796,-0.611548,0.999948
5,11,0.772992,0.421731,-0.447116,0.999876
5,12,0.599256,0.445162,-0.434110,0.999365
5,13,0.810708,0.630622,-0.452695,0.994120
5,14,0.569775,0.633355,-0.429540,0.984506
5,15,0.831799,0.854805,-0.502997,0.980126
5,16,0.558666,0.855353,-0.477475,0.964872
5,17,0.854528,0.877865,-0.547684,0.925926
5,18,0.535970,0.871724,-0.518381,0.871008
